107.170.130.204 - - [13/Oct/2019:10:11:15 +0200] "GET / HTTP/1.1" 301 515 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0"
107.170.130.204 - - [13/Oct/2019:10:11:17 +0200] "GET / HTTP/1.1" 200 72511 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0"
207.46.13.192 - - [13/Oct/2019:10:22:20 +0200] "GET /password_reset/ HTTP/1.1" 200 5025 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
37.134.202.38 - - [13/Oct/2019:10:30:03 +0200] "GET / HTTP/1.1" 200 13876 "-" "python-requests/2.12.4"
37.134.202.38 - - [13/Oct/2019:10:30:04 +0200] "\n" 400 3245 "-" "-"
37.134.202.38 - - [13/Oct/2019:10:30:05 +0200] "\n" 400 3245 "-" "-"
157.55.39.37 - - [13/Oct/2019:10:33:51 +0200] "GET /robots.txt HTTP/1.1" 404 20500 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
103.255.4.90 - - [13/Oct/2019:10:33:53 +0200] "GET / HTTP/1.1" 200 13887 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36"
103.255.4.90 - - [13/Oct/2019:10:33:54 +0200] "GET /static/assets/css/plugins/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 9173 "https://intef.kibotics.org/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36"
103.255.4.90 - - [13/Oct/2019:10:33:54 +0200] "GET /static/assets/css/bootstrap/bootstrap.min.css HTTP/1.1" 200 19731 "https://intef.kibotics.org/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36"
103.255.4.90 - - [13/Oct/2019:10:33:54 +0200] "GET /static/assets/css/plugins/hover/hover.min.css HTTP/1.1" 200 3855 "https://intef.kibotics.org/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36"
103.255.4.90 - - [13/Oct/2019:10:33:54 +0200] "GET /static/assets/css/plugins/owl.carousel/owl.carousel.css HTTP/1.1" 200 953 "https://intef.kibotics.org/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36"
